,标题,学校,门类/专业,招生人数,发布时间,链接
0,济南大学机器学习及其应用课题组计算机硕士一志愿及调剂招生,济南大学,工学 -> 计算机科学与技术  -> 计算机系统结构,10,2025-04-02 16:53,https://muchong.com/t-16461751-1
1,安徽工业大学计算机学院接收调剂研究生(学硕),安徽工业大学,工学 -> 计算机科学与技术  ,3,2025-04-02 16:05,https://muchong.com/t-16461577-1
2,福建农林大学顾连峰教授接收少量0710生物学; 0812计算机科学与技术相关专业调剂生,福建农林大学,工学 -> 计算机科学与技术  ,2,2025-04-02 15:17,https://muchong.com/t-16461414-1
3,济南大学机器学习及其应用课题组拟接收计算机硕士-预宣传,济南大学,工学 -> 计算机科学与技术  ,10,2025-04-02 13:16,https://muchong.com/t-16460956-1
4,济南大学机器学习及其应用课题组计算机硕士一志愿及调剂招生,济南大学,工学 -> 计算机科学与技术  ,10,2025-04-02 13:09,https://muchong.com/t-16460936-1
5,苏州科技大学2025年硕士研究生招生接收调剂专业信息,苏州科技大学,工学 -> 计算机科学与技术  ,0,2025-04-02 10:55,https://muchong.com/t-16460430-1
6,济南大学接收调剂研究生,济南大学,工学 -> 计算机科学与技术  -> 计算机系统结构,5,2025-04-02 00:36,https://muchong.com/t-16459453-1
7,济南大学数字几何处理课题组现 接收 计算机科学与技术  学硕调剂,济南大学,工学 -> 计算机科学与技术  -> 计算机应用技术,1,2025-04-01 22:13,https://muchong.com/t-16459211-1
8,欢迎计算机、数学、机械专业的考生加入课题组,汕头大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2025-04-01 21:51,https://muchong.com/t-16459158-1
9,长江大学接收调剂研究生（石油、化学、材料、土木等工学相关专业）,长江大学,工学 -> 计算机科学与技术  ,4,2025-04-01 16:32,https://muchong.com/t-16458239-1
10,首都师范大学招收2名专硕调剂生,,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2025-04-01 14:49,https://muchong.com/t-16457835-1
11,中科院系统单位（自动化学科）与哈尔滨理工大学联合培养招收调剂生,哈尔滨理工大学,工学 -> 计算机科学与技术  ,4,2025-04-01 14:34,https://muchong.com/t-16457773-1
12,考研调剂招生,,工学 -> 计算机科学与技术  -> 计算机系统结构,15,2025-04-01 13:04,https://muchong.com/t-16457447-1
13,济南大学机器学习及其应用课题组拟接收计算机硕士-预宣传,济南大学,工学 -> 计算机科学与技术  ,10,2025-04-01 10:34,https://muchong.com/t-16456915-1
14,济南大学机器学习及其应用课题组计算机硕士一志愿及调剂招生,济南大学,工学 -> 计算机科学与技术  ,10,2025-04-01 10:27,https://muchong.com/t-16456868-1
15,上海海大接收一志愿为08工科专业的调剂生,上海海事,工学 -> 计算机科学与技术  ,20,2025-04-01 09:41,https://muchong.com/t-16456642-1
16,江西理工大学地学大数据与人工智能团队招收计算机相关专业调剂生,江西理工,工学 -> 计算机科学与技术  ,2,2025-03-31 21:10,https://muchong.com/t-16455757-1
17,招收0812计算机学硕,,工学 -> 计算机科学与技术  -> 计算机应用技术,4,2025-03-31 18:13,https://muchong.com/t-16455317-1
18,东北农业大学211高校招收计算机科学与技术调剂考生,东北农业大学,工学 -> 计算机科学与技术  ,1,2025-03-31 16:08,https://muchong.com/t-16454868-1
19,东北农业大学电气与信息学院招收计算机科学与技术调剂考生,东北农业大学,工学 -> 计算机科学与技术  ,1,2025-03-31 15:41,https://muchong.com/t-16454751-1
20,济南大学机器学习及其应用课题组拟接收计算机硕士-预宣传,济南大学,工学 -> 计算机科学与技术  ,10,2025-03-31 15:07,https://muchong.com/t-16454593-1
21,济南大学机器学习及其应用课题组计算机硕士一志愿及调剂招生,济南大学,工学 -> 计算机科学与技术  ,10,2025-03-31 13:08,https://muchong.com/t-16454169-1
22,上海工程技术大学 材料科学与工程学院 高性能纤维及其复合材料团队招调剂生,上海工程,工学 -> 计算机科学与技术  ,6,2025-03-31 11:14,https://muchong.com/t-16453714-1
23,济南大学机器学习及其应用课题组计算机硕士一志愿及调剂招生,济南大学,工学 -> 计算机科学与技术  -> 计算机应用技术,10,2025-03-31 11:00,https://muchong.com/t-16453629-1
24,北京建筑大学接收调剂研究生,北京建筑大学,工学 -> 计算机科学与技术  -> 计算机系统结构,0,2025-03-30 20:03,https://muchong.com/t-16452184-1
25,北京石油化工学院智能制造与智能装备团队招生,北京石油化工学院,工学 -> 计算机科学与技术  ,15,2025-03-30 15:43,https://muchong.com/t-16451608-1
26,厦门大学信息学院人工智能系接收调剂,厦门大学,工学 -> 计算机科学与技术  ,2,2025-03-30 14:29,https://muchong.com/t-16451463-1
27,重庆科技大学 智能化石油方向 曲海教授欢迎相关专业研究生调剂,,工学 -> 计算机科学与技术  ,5,2025-03-30 12:31,https://muchong.com/t-16451187-1
28,济南大学机器学习及其应用课题组计算机硕士一志愿及调剂招生,济南大学,工学 -> 计算机科学与技术  ,10,2025-03-30 11:15,https://muchong.com/t-16450976-1
29,杭州师范大学计算机科学与技术学硕接收调剂,杭州师范,工学 -> 计算机科学与技术  ,2,2025-03-30 11:07,https://muchong.com/t-16450951-1
30,南昌航空大学计算机视觉与人工智能团队接收调剂,南昌航空大学,工学 -> 计算机科学与技术  -> 计算机应用技术,10,2025-03-30 08:14,https://muchong.com/t-16450504-1
31,济南大学机器学习及其应用课题组拟接收计算机硕士-预宣传,济南大学,工学 -> 计算机科学与技术  ,10,2025-03-29 19:24,https://muchong.com/t-16449782-1
32,重庆科技大学地质工程专业张雷教授团队拟接收研究生,重庆科技学院,工学 -> 计算机科学与技术  -> 计算机应用技术,6,2025-03-29 16:40,https://muchong.com/t-16449436-1
33,东北石油大学接收调剂研究生,东北石油大学,工学 -> 计算机科学与技术  -> 计算机系统结构,0,2025-03-28 19:04,https://muchong.com/t-16447381-1
34,上海工程接收调剂研究生,上海工程,工学 -> 计算机科学与技术  ,6,2025-03-28 10:40,https://muchong.com/t-16445930-1
35,石家庄铁道大学信息科学与技术学院调剂,,工学 -> 计算机科学与技术  ,0,2025-03-27 08:14,https://muchong.com/t-16443508-1
36,石家庄铁道大学信息科学与技术学院调剂,石家庄铁道大学,工学 -> 计算机科学与技术  ,0,2025-03-25 16:54,https://muchong.com/t-16441066-1
37,北京石油化工学院水下焊接课题组招生,北京石油化工学院,工学 -> 计算机科学与技术  ,8,2025-03-25 12:38,https://muchong.com/t-16440528-1
38,2025年工科硕士调剂-上海大学国家重点实验室院士团队-材料计算相关方向研究生3-5人,上海大学,工学 -> 计算机科学与技术  ,5,2025-03-25 09:11,https://muchong.com/t-16440073-1
39,中科院系统单位（自动化学科）与哈尔滨理工大学联合培养招收调剂生,哈尔滨理工大学,工学 -> 计算机科学与技术  ,4,2025-03-24 15:45,https://muchong.com/t-16439039-1
40,厦门地区计算机相关调剂,华侨大学,工学 -> 计算机科学与技术  ,20,2025-03-23 16:20,https://muchong.com/t-16437527-1
41,中国电子科技集团公司第二十九研究所2025年硕士研究生招生调剂通知,,工学 -> 计算机科学与技术  ,0,2025-03-22 11:01,https://muchong.com/t-16435850-1
42,西北民大接收调剂研究生,西北民大,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2025-03-21 11:46,https://muchong.com/t-16434232-1
43,北京石油化工学院智能制造与智能装备团队招生,北京石油化工学院,工学 -> 计算机科学与技术  ,15,2025-03-21 11:10,https://muchong.com/t-16434152-1
44,电子信息 招收调剂生！,,工学 -> 计算机科学与技术  ,5,2025-03-21 10:54,https://muchong.com/t-16434122-1
45,招聘专业硕士研究生2-3名，特别是人工智能轻量化网络，,山东交通学院,工学 -> 计算机科学与技术  -> 计算机应用技术,3,2025-03-02 11:26,https://muchong.com/t-16402966-1
46,2025年中国林科院+林业装备与信息化+学术型硕士研究生+偏电+1名+报考08工学,,工学 -> 计算机科学与技术  -> 计算机应用技术,1,2025-02-28 23:05,https://muchong.com/t-16399329-1
47,2025年硕士调剂（生物信息、计算机科学、人工智能和数据科学等方向）,复旦大学,工学 -> 计算机科学与技术  -> 计算机应用技术,4,2025-02-28 17:52,https://muchong.com/t-16398515-1
